"ID externo","Especialidad","Genero","Nombre"
"__export__.berp_prueba_2_a721f007","Velocidad","Masculino","100 ml"
"__export__.berp_prueba_3_e1597f69","Velocidad","Masculino","110 mv"
"__export__.berp_prueba_4_66c1ebc6","Velocidad","Masculino","200 ml"
"__export__.berp_prueba_5_df51a2ea","Velocidad","Masculino","400 ml"
"__export__.berp_prueba_6_70a7b20e","Velocidad","Masculino","400 mv"
"__export__.berp_prueba_7_15f6aa78","Velocidad","Femenino","100 ml"
"__export__.berp_prueba_8_2b84e6f6","Velocidad","Femenino","100 mv"
"__export__.berp_prueba_9_dac546dc","Velocidad","Femenino","200 ml"
"__export__.berp_prueba_10_dfd836cf","Velocidad","Femenino","400 ml"
"__export__.berp_prueba_11_cb0a81c6","Velocidad","Femenino","400 mv"
"__export__.berp_prueba_12_a00689c8","Medio Fondo","Masculino","800 ml"
"__export__.berp_prueba_13_799732fa","Medio Fondo","Masculino","1.500 ml"
"__export__.berp_prueba_14_dfd3efdd","Medio Fondo","Femenino","800 ml"
"__export__.berp_prueba_15_52a71f34","Medio Fondo","Femenino","1.500 ml"
"__export__.berp_prueba_16_56506775","Fondo","Masculino","3.000 ml"
"__export__.berp_prueba_17_bf437f62","Fondo","Masculino","3.000 obs"
"__export__.berp_prueba_18_f53d78e0","Fondo","Masculino","5.000 ml"
"__export__.berp_prueba_19_dffacdb0","Fondo","Masculino","10.000 ml"
"__export__.berp_prueba_20_0747d696","Fondo","Femenino","3.000 ml"
"__export__.berp_prueba_21_73c4e988","Fondo","Femenino","3.000 obs"
"__export__.berp_prueba_22_21a45b93","Fondo","Femenino","5.000 ml"
"__export__.berp_prueba_23_211c08b9","Fondo","Femenino","10.000 ml"
"__export__.berp_prueba_24_a62c46d0","Marcha Atlética","Masculino","5.000 mm"
"__export__.berp_prueba_25_07452f5f","Marcha Atlética","Masculino","10.000 mm"
"__export__.berp_prueba_26_78d03775","Marcha Atlética","Femenino","5.000 mm"
"__export__.berp_prueba_27_4ae40256","Marcha Atlética","Femenino","10.000 mm"
"__export__.berp_prueba_28_48e93dc4","Saltos","Masculino","Salto de Altura"
"__export__.berp_prueba_29_617f28f3","Saltos","Masculino","Salto de Longuitud"
"__export__.berp_prueba_30_1b732c99","Saltos","Masculino","Triple Salto"
"__export__.berp_prueba_31_bfa16bb9","Saltos","Masculino","Salto con Pertiga"
"__export__.berp_prueba_32_62be2862","Saltos","Femenino","Salto de Altura"
"__export__.berp_prueba_33_e71e2ddf","Saltos","Femenino","Salto de Longuitud"
"__export__.berp_prueba_34_9d9ef061","Saltos","Femenino","Triple Salto"
"__export__.berp_prueba_35_0877d3e9","Saltos","Femenino","Salto con Pertiga"
"__export__.berp_prueba_36_a0eb1835","Lanzamientos","Masculino","Lanzamiento de Peso"
"__export__.berp_prueba_37_87b48418","Lanzamientos","Masculino","Lanzamiento de Disco"
"__export__.berp_prueba_38_cd8f90e4","Lanzamientos","Masculino","Lanzamiento de Martillo"
"__export__.berp_prueba_39_8b6f9cf2","Lanzamientos","Masculino","Lanzamiento de Javalina"
"__export__.berp_prueba_40_eb7b2e28","Lanzamientos","Femenino","Lanzamiento de Peso"
"__export__.berp_prueba_41_dd02dae3","Lanzamientos","Femenino","Lanzamiento de Disco"
"__export__.berp_prueba_42_be5ba8b2","Lanzamientos","Femenino","Lanzamiento de Martillo"
"__export__.berp_prueba_43_0cfd080f","Lanzamientos","Femenino","Lanzamiento de Javalina"
