"ID externo","Ciudad","Dirección","Nombre"
"__export__.berp_pista_104_ba88389a","Amposta","Madrid s/n – 43870 Amposta","Estadi Municipal"
"__export__.berp_pista_105_bacd1ee3","Andorra la Vella","Av. Salou, 22 – AD500 Andorra la Vella","Estadi Comunal"
"__export__.berp_pista_106_60cda2aa","Ascó","Camp Municipal d’Esports – 43791 Ascó","Camp Municipal d’Esports"
"__export__.berp_pista_107_714085f8","Barberà del Vallès","Dr. Moragas, 268-270 – 08210 Barberà del Vallès","Estadi Municipal de Can Llobet"
"__export__.berp_pista_108_bc0f4580","Barcelona","Pg. Olímpic, 17-19 – 08038 Barcelona","Estadi Olímpic “Lluís Companys”"
"__export__.berp_pista_109_1fe002a1","Barcelona","Camí del Polvorí, 5-7 – 08038 Barcelona","Estadi Municipal “Joan Serrahima”"
"__export__.berp_pista_110_e687e202","Barcelona","Roselló i Porcell, 7-11 – 08016 Barcelona","Estadi Municipal “Can Dragó”"
"__export__.berp_pista_111_ff4bf279","Barcelona","Av. Diagonal, 695-701 – 08028 Barcelona","Estadi de la Universitat de Barcelona"
"__export__.berp_pista_112_559dd708","Calella","Zona Esportiva “La Muntanyeta”","Estadi Municipal “La Muntanyeta”"
"__export__.berp_pista_113_8d05e2ec","Cambrils","","Estadi Municipal"
"__export__.berp_pista_114_6f300812","Castellar del Vallès","Garrotxa, s/n – 08211 Castellar del Vallès","Estadi Municipal"
"__export__.berp_pista_115_11c9ed63","Cornellà de Llobregat","Carrer del Rugby , s/n – 08940 Cornellà de Llobregat","Estadi Municipal"
"__export__.berp_pista_116_9def75f3","El Prat de Llobregat","Complex Esportiu Municipal Sagnier Frederica Montseny, 2-8 08820 El Prat de Llobregat","Estadi “Moisés Llopart”"
"__export__.berp_pista_117_d57f17c7","Gavà","Pge. Elisenda Montcada, s/n – 08850 Gavà","Estadi Municipal “La Bòbila”"
"__export__.berp_pista_118_ca1c0f25","Girona","Creu de Palau – Av. Montilivi, 149 – 17003 Girona","Estadi Palau Sacosta"
"__export__.berp_pista_119_9986ee97","Granollers","Zona Esportiva Municipal – Camp de Les Moreres, 22 08400 Granollers","Estadi Municipal"
"__export__.berp_pista_120_9844acb9","Igualada","Av. de l’Estadi, s/n – 08700 Igualada","Estadi Municipal"
"__export__.berp_pista_121_c4d5e430","L’Hospitalet de Llobregat","Manuel Azaña, 1 – 08906 L ‘Hospitalet de Llobregat","Complex Esportiu L’Hospitalet Nord"
