Especialidad,Genero,Nombre
Velocidad,Masculino,100 ml
Velocidad,Femenino,100 ml
Velocidad,Masculino,110 mv
Velocidad,Femenino,100 mv
Velocidad,Masculino,200 ml
Velocidad,Femenino,200 ml
Velocidad,Masculino,400 ml
Velocidad,Femenino,400 ml
Velocidad,Masculino,400 mv
Velocidad,Femenino,400 mv
Medio Fondo,Masculino,800 ml
Medio Fondo,Femenino,800 ml
Medio Fondo,Masculino,1.500 ml
Medio Fondo,Femenino,1.500 ml
Fondo,Masculino,3.000 ml
Fondo,Femenino,3.000 ml
Fondo,Masculino,3.000 obs
Fondo,Femenino,3.000 obs
Fondo,Masculino,5.000 ml
Fondo,Femenino,5.000 ml
Fondo,Masculino,10.000 ml
Fondo,Femenino,10.000 ml
Marcha Atlética,Masculino,5.000 mm
Marcha Atlética,Femenino,5.000 mm
Marcha Atlética,Masculino,10.000 mm
Marcha Atlética,Femenino,10.000 mm
Saltos,Masculino,Salto de Altura
Saltos,Femenino,Salto de Altura
Saltos,Masculino,Salto de Longuitud
Saltos,Femenino,Salto de Longuitud
Saltos,Masculino,Triple Salto
Saltos,Femenino,Triple Salto
Saltos,Masculino,Salto con Pertiga
Saltos,Femenino,Salto con Pertiga
Lanzamientos,Masculino,Lanzamiento de Peso
Lanzamientos,Femenino,Lanzamiento de Peso
Lanzamientos,Masculino,Lanzamiento de Disco
Lanzamientos,Femenino,Lanzamiento de Disco
Lanzamientos,Masculino,Lanzamiento de Martillo
Lanzamientos,Femenino,Lanzamiento de Martillo
Lanzamientos,Masculino,Lanzamiento de Javalina
Lanzamientos,Femenino,Lanzamiento de Javalina
Lanzamientos,Masculino,Llançament de Pilota
Lanzamientos,Femenino,Llançament de Pilota
Lanzamientos,Masculino,Llançament de Martell Pesat
Lanzamientos,Femenino,Llançament de Martell Pesat
Velocidad,Masculino,60 ml
Velocidad,Femenino,60 ml
Velocidad,Masculino,60 mv
Velocidad,Femenino,60 mv
Fondo,Masculino,2.000 obs
Fondo,Femenino,2.000 obs
Medio Fondo,Masculino,1.500 obs
Medio Fondo,Femenino,1.500 obs
Velocidad,Masculino,80 ml
Velocidad,Femenino,80 ml
Velocidad,Masculino,80 mv
Velocidad,Femenino,80 mv
Velocidad,Masculino,150 ml
Velocidad,Femenino,150 ml
Velocidad,Masculino,220 mv
Velocidad,Femenino,220 mv
Velocidad,Masculino,300 ml
Velocidad,Femenino,300 ml
Velocidad,Masculino,300 mv
Velocidad,Femenino,300 mv
Medio Fondo,Masculino,500 ml
Medio Fondo,Femenino,500 ml
Medio Fondo,Masculino,600 ml
Medio Fondo,Femenino,600 ml
Medio Fondo,Masculino,1.000 ml
Medio Fondo,Femenino,1.000 ml
Fondo,Masculino,2.000 ml
Fondo,Femenino,2.000 ml
Marcha Atlética,Masculino,1.000 mm
Marcha Atlética,Femenino,1.000 mm
Marcha Atlética,Masculino,2.000 mm
Marcha Atlética,Femenino,2.000 mm
Marcha Atlética,Masculino,20.000 mm
Marcha Atlética,Femenino,20.000 mm
Marcha Atlética,Masculino,3.000 mm
Marcha Atlética,Femenino,3.000 mm
Marcha Atlética,Masculino,50.000 mm
Marcha Atlética,Femenino,50.000 mm
Medio Fondo,Masculino,1.000 obs
Medio Fondo,Femenino,1.000 obs
Medio Fondo,Masculino,Relevo 3x600
Medio Fondo,Femenino,Relevo 3x600
Velocidad,Masculino,Relevo 4x100
Velocidad,Femenino,Relevo 4x100
Velocidad,Masculino,Relevo 4x200
Velocidad,Femenino,Relevo 4x200
Velocidad,Masculino,Relevo 4x300
Velocidad,Femenino,Relevo 4x300
Velocidad,Masculino,Relevo 4x400
Velocidad,Femenino,Relevo 4x400
Velocidad,Masculino,Relevo 4x60
Velocidad,Femenino,Relevo 4x60
Velocidad,Masculino,Relevo 4x80
Velocidad,Femenino,Relevo 4x80
