Puntos;100 ml;110 mv;200 ml;400 ml;400 mv;800 ml;1.500 ml;3.000 ml;3.000 obs;5.000 ml;10.000 ml;5.000 mm;10.000 mm;Salto de Altura;Salto con Pertiga;Salto de Longitud;Triple Salto;Lanzamiento de Peso;Lanzamiento de Disco;Lanzamiento de Martillo;Lanzamiento de Javalina
1100;;;20,78;46,17;50,61;1:47.46;3:40.52;7:52.61;8:35.15;13:30.73;28:21.12;19:31;40:43;;;;16,39;19,65;62,13;73,87;79,89
1099;10,32;13,82;20,79;46,19;50,63;1:47.49;3:40.59;7:52.78;8:35.38;13:31.02;28:21.78;19:32;40:44;2,21;5,39;7,82;16,38;19,63;62,08;73,8;79,82
1098;;;;46,2;50,65;1:47.53;3:40.66;7:52.95;8:35.61;13:31.31;28:22.44;19:33;40:46;;;;16,37;19,61;62,03;73,74;79,75
1097;;13,83;20,8;46,22;50,67;1:47.56;3:40.74;7:53.11;8:35.84;13:31.59;28:23.10;;40:47;;5,38;;;19,6;61,97;73,67;79,68
1096;;;20,81;46,23;50,69;1:47.60;3:40.81;7:53.28;8:36.07;13:31.88;28:23.76;19:34;40:48;;;7,81;16,36;19,58;61,92;73,61;79,61
1095;10,33;13,84;;46,25;50,71;1:47.63;3:40.89;7:53.45;8:36.30;13:32.17;28:24.42;19:35;40:50;;;;16,35;19,56;61,86;73,54;79,54
1094;;;20,82;46,26;50,73;1:47.66;3:40.96;7:53.62;8:36.53;13:32.45;28:25.08;;40:51;;5,37;7,8;16,34;19,55;61,81;73,48;79,47
1093;;13,85;20,83;46,28;50,75;1:47.70;3:41.04;7:53.78;8:36.76;13:32.74;28:25.74;19:36;40:53;;;;16,33;19,53;61,75;73,41;79,39
1092;10,34;13,86;;46,29;50,77;1:47.73;3:41.11;7:53.95;8:36.99;13:33.03;28:26.40;19:37;40:54;;;7,79;16,32;19,51;61,7;73,35;79,32
1091;;;20,84;46,31;50,79;1:47.76;3:41.19;7:54.12;8:37.22;13:33.31;28:27.06;19:38;40:56;;5,36;;16,31;19,5;61,65;73,28;79,25
